title,intl_gross,dom_gross,budget,runtime,num_theaters,num_days,director,genre,mpaa_rating,release_month,release_year,release_date,total_gross
T2: Trainspotting,41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Danny Boyle,Crime Comedy,R,Mar,2017,2017-03-17,42944914.0
Resident Evil: The Final Chapter,312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Paul W.S. Anderson,Sci-Fi Action,R,Jan,2017,2017-01-27,321391506.0
Baby Driver,226945087.0,107825862.0,34000000.0,112.0,114.23131782945737,114.0,Edgar Wright,Action / Crime,R,Jun,2017,2017-06-28,243722290.0
Hacksaw Ridge,179036915.64196044,68641418.07863937,40000000.0,131.0,114.23131782945737,126.0,Mel Gibson,Action Drama,R,Nov,2016,2016-11-04,207334152.64196044
Patriots Day,51626801.27696276,32565653.53643852,45000000.0,130.0,114.23131782945737,79.0,Peter Berg,Drama,R,Dec,2016,2016-12-21,60473803.27696276
John Wick: Chapter Two,171539887.0,92029184.0,30857482.18527316,122.0,114.23131782945737,77.0,Chad Stahelski,Action,R,Feb,2017,2017-02-10,201793213.0
La La Land,455595705.7412492,154320807.10712606,30000000.0,128.0,114.23131782945737,140.0,Damien Chazelle,Musical,PG-13,Dec,2016,2016-12-09,471828357.7412492
Wonder,300274326.0,132422809.0,30857482.18527316,113.0,114.23131782945737,126.0,Stephen Chbosky,Drama,PG,Nov,2017,2017-11-17,318804206.0
The Foreigner,145374099.0,34393507.0,35000000.0,114.0,114.23131782945737,70.0,Martin Campbell,Action Thriller,R,Oct,2017,2017-10-13,150685060.0
Valerian and the City of a Thousand Planets,225874228.0,41189488.0,30857482.18527316,137.0,114.23131782945737,76.31803628601921,Luc Besson,Sci-Fi,PG-13,Jul,2017,2017-07-21,236640479.0
A Bad Moms Christmas,130560428.0,72110659.0,28000000.0,104.0,114.23131782945737,72.0,"Jon Lucas,Scott Moore",Comedy,R,Nov,2017,2017-11-01,139289421.0
Nocturnal Animals,30957607.01912861,10890524.309040986,30857482.18527316,115.0,114.23131782945737,70.0,Tom Ford,Drama / Thriller,R,Nov,2016,2016-11-18,33272019.01912861
A Monster Calls,48317169.093234785,3820515.7922893916,30857482.18527316,108.0,114.23131782945737,35.0,J.A. Bayona,Fantasy Drama,PG-13,Dec,2016,2016-12-23,51464920.093234785
Atomic Blonde,95787870.0,51687870.0,30000000.0,115.0,114.23131782945737,70.0,David Leitch,Thriller,R,Jul,2017,2017-07-28,106871907.0
The Founder,24121245.0,12786053.0,30857482.18527316,115.0,114.23131782945737,99.0,John Lee Hancock,Drama,PG-13,Jan,2017,2017-01-19,26460324.0
The Nut Job 2: Nutty by Nature,65146020.0,28370522.0,40000000.0,91.0,114.23131782945737,49.0,Cal Brunker,Animation,PG,Aug,2017,2017-08-11,68711023.0
Jackie,14257799.886169987,14257799.886169987,30857482.18527316,95.0,508.0,140.0,Pablo Larrain,Drama,R,Dec,2016,2016-12-02,15559706.886169987
Logan Lucky,47570583.0,27780977.0,29000000.0,119.0,114.23131782945737,84.0,Steven Soderbergh,Action Comedy,PG-13,Aug,2017,2017-08-18,51367422.0
Manchester by the Sea,79192001.50262284,48711451.49733133,9000000.0,135.0,114.23131782945737,161.0,Kenneth Lonergan,Drama,R,Nov,2016,2016-11-18,82987737.50262284
Wish Upon,14301505.0,14301505.0,12000000.0,90.0,114.23131782945737,91.0,John R. Leonetti,Horror,PG-13,Jul,2017,2017-07-14,14862974.0
T2: Trainspotting,41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Danny Boyle,Crime Comedy,R,Mar,2017,2017-03-17,42944914.0
Resident Evil: The Final Chapter,312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Paul W.S. Anderson,Sci-Fi Action,R,Jan,2017,2017-01-27,321391506.0
Baby Driver,226945087.0,107825862.0,34000000.0,112.0,114.23131782945737,114.0,Edgar Wright,Action / Crime,R,Jun,2017,2017-06-28,243722290.0
Hacksaw Ridge,179036915.64196044,68641418.07863937,40000000.0,131.0,114.23131782945737,126.0,Mel Gibson,Action Drama,R,Nov,2016,2016-11-04,207334152.64196044
Patriots Day,51626801.27696276,32565653.53643852,45000000.0,130.0,114.23131782945737,79.0,Peter Berg,Drama,R,Dec,2016,2016-12-21,60473803.27696276
John Wick: Chapter Two,171539887.0,92029184.0,30857482.18527316,122.0,114.23131782945737,77.0,Chad Stahelski,Action,R,Feb,2017,2017-02-10,201793213.0
La La Land,455595705.7412492,154320807.10712606,30000000.0,128.0,114.23131782945737,140.0,Damien Chazelle,Musical,PG-13,Dec,2016,2016-12-09,471828357.7412492
Wonder,300274326.0,132422809.0,30857482.18527316,113.0,114.23131782945737,126.0,Stephen Chbosky,Drama,PG,Nov,2017,2017-11-17,318804206.0
The Foreigner,145374099.0,34393507.0,35000000.0,114.0,114.23131782945737,70.0,Martin Campbell,Action Thriller,R,Oct,2017,2017-10-13,150685060.0
Valerian and the City of a Thousand Planets,225874228.0,41189488.0,30857482.18527316,137.0,114.23131782945737,76.31803628601921,Luc Besson,Sci-Fi,PG-13,Jul,2017,2017-07-21,236640479.0
A Bad Moms Christmas,130560428.0,72110659.0,28000000.0,104.0,114.23131782945737,72.0,"Jon Lucas,Scott Moore",Comedy,R,Nov,2017,2017-11-01,139289421.0
Nocturnal Animals,30957607.01912861,10890524.309040986,30857482.18527316,115.0,114.23131782945737,70.0,Tom Ford,Drama / Thriller,R,Nov,2016,2016-11-18,33272019.01912861
A Monster Calls,48317169.093234785,3820515.7922893916,30857482.18527316,108.0,114.23131782945737,35.0,J.A. Bayona,Fantasy Drama,PG-13,Dec,2016,2016-12-23,51464920.093234785
Atomic Blonde,95787870.0,51687870.0,30000000.0,115.0,114.23131782945737,70.0,David Leitch,Thriller,R,Jul,2017,2017-07-28,106871907.0
The Founder,24121245.0,12786053.0,30857482.18527316,115.0,114.23131782945737,99.0,John Lee Hancock,Drama,PG-13,Jan,2017,2017-01-19,26460324.0
The Nut Job 2: Nutty by Nature,65146020.0,28370522.0,40000000.0,91.0,114.23131782945737,49.0,Cal Brunker,Animation,PG,Aug,2017,2017-08-11,68711023.0
Jackie,14257799.886169987,14257799.886169987,30857482.18527316,95.0,508.0,140.0,Pablo Larrain,Drama,R,Dec,2016,2016-12-02,15559706.886169987
Logan Lucky,47570583.0,27780977.0,29000000.0,119.0,114.23131782945737,84.0,Steven Soderbergh,Action Comedy,PG-13,Aug,2017,2017-08-18,51367422.0
Manchester by the Sea,79192001.50262284,48711451.49733133,9000000.0,135.0,114.23131782945737,161.0,Kenneth Lonergan,Drama,R,Nov,2016,2016-11-18,82987737.50262284
Wish Upon,14301505.0,14301505.0,12000000.0,90.0,114.23131782945737,91.0,John R. Leonetti,Horror,PG-13,Jul,2017,2017-07-14,14862974.0
Sicario,87774013.98751988,48492317.00747204,30000000.0,121.0,114.23131782945737,119.0,Denis Villeneuve,Action Drama,R,Sep,2015,2015-09-18,101528620.98751988
The Hunger Games: Mockingjay - Part 2,675767288.1536767,291355315.68722916,160000000.0,137.0,114.23131782945737,98.0,Francis Lawrence,Action / Adventure,PG-13,Nov,2015,2015-11-20,727389708.1536767
Middle School: The Worst Years of My Life,23812855.42371681,20433372.20531068,30857482.18527316,89.0,114.23131782945737,56.0,Steve Carr,Comedy,PG,Oct,2016,2016-10-07,26856157.42371681
Blair Witch,46135338.9246147,21219686.060489904,5000000.0,90.0,114.23131782945737,42.0,Adam Wingard,Horror,R,Sep,2016,2016-09-16,48527186.9246147
Gods of Egypt,153890900.61406544,31817143.231989067,140000000.0,127.0,114.23131782945737,77.0,Alex Proyas,Action / Adventure,PG-13,Feb,2016,2016-02-26,170037459.61406544
Nerve,87057442.07260622,39405594.02484094,19000000.0,96.0,114.23131782945737,72.0,"Henry Joost,Ariel Schulman",Thriller,PG-13,Jul,2016,2016-07-27,92824289.07260622
Deepwater Horizon,124384939.72992454,62742278.92619799,110000000.0,107.0,114.23131782945737,77.0,Peter Berg,Action Drama,PG-13,Sep,2016,2016-09-30,140591859.72992456
Now You See Me 2,342035922.80825144,66461879.71517497,30857482.18527316,129.0,114.23131782945737,77.0,Jon Chu,Thriller,PG-13,Jun,2016,2016-06-10,357368564.80825144
The Divergent Series: Allegiant,183065461.77469826,67594005.92949373,30857482.18527316,121.0,114.23131782945737,77.0,Robert Schwentke,Action / Adventure,PG-13,Mar,2016,2016-03-18,204557452.77469826
Kubo and the Two Strings,71419292.23064327,49046150.031290755,60000000.0,101.0,114.23131782945737,105.0,Travis Knight,Animation,PG,Aug,2016,2016-08-19,81194700.23064327
Free State of Jones,25569304.495285556,21253363.544896606,50000000.0,139.0,114.23131782945737,35.0,Gary Ross,Action Drama,R,Jun,2016,2016-06-24,31972163.495285556
Bad Moms,187854564.48720247,115670078.95869704,20000000.0,101.0,114.23131782945737,91.0,"Jon Lucas,Scott Moore",Comedy,R,Jul,2016,2016-07-29,204496042.48720247
Fifty Shades of Black,22701038.85170016,11935913.25586337,30857482.18527316,92.0,114.23131782945737,56.0,Michael Tiddes,Comedy,R,Jan,2016,2016-01-29,24905584.85170016
Triple 9,23611968.080264326,12908558.836367274,30857482.18527316,115.0,114.23131782945737,49.0,John Hillcoat,Thriller,R,Feb,2016,2016-02-26,27636350.080264326
Spotlight,91366811.08004911,46596116.78959737,30857482.18527316,128.0,114.23131782945737,182.0,Tom McCarthy,Drama,R,Nov,2015,2015-11-06,96294715.08004911
Snowden,38073623.217989475,22047409.6892174,40000000.0,134.0,114.23131782945737,63.0,Oliver Stone,Thriller,R,Sep,2016,2016-09-16,41871781.217989475
A Hologram for the King,4302235.056810843,4302235.056810843,30857482.18527316,108.0,523.0,77.0,Tom Tykwer,Drama,R,Apr,2016,2016-04-22,5762047.056810843
Green Room,3288976.319524014,3288976.319524014,30857482.18527316,94.0,777.0,91.0,Jeremy Saulnier,Thriller,R,Apr,2016,2016-04-15,4822487.319524014
Regression,18047558.100888725,56211.52583049661,30857482.18527316,106.0,100.0,21.0,Alejandro Amenabar,Thriller,R,Feb,2016,2016-02-05,18179636.100888725
Burnt,37858233.14007012,14118670.827493386,20000000.0,100.0,114.23131782945737,105.0,John Wells,Comedy,R,Oct,2015,2015-10-30,40719170.14007012
Jane Got a Gun,1546042.1577703983,1546042.1577703983,30857482.18527316,98.0,114.23131782945737,28.0,Gavin O'Connor,Western,R,Jan,2016,2016-01-29,3274000.157770398
The Hateful Eight,161085153.7191003,55967550.89263639,44000000.0,167.0,114.23131782945737,126.0,Quentin Tarantino,Western,R,Dec,2015,2015-12-25,185262446.7191003
Brooklyn,64198364.176071756,39632898.754772864,30857482.18527316,111.0,962.0,205.0,John Crowley,Drama,PG-13,Nov,2015,2015-11-04,68918793.17607176
The Infiltrator,15765666.73872012,15765666.73872012,30857482.18527316,127.0,114.23131782945737,86.0,Brad Furman,Drama / Thriller,R,Jul,2016,2016-07-13,17184268.73872012
The Meddler,4358124.872024566,4358124.872024566,30857482.18527316,100.0,464.0,126.0,Lorene Scafaria,Comedy,PG-13,Apr,2016,2016-04-22,4884926.872024566
T2: Trainspotting,41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Danny Boyle,Crime Comedy,R,Mar,2017,2017-03-17,42944914.0
Resident Evil: The Final Chapter,312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Paul W.S. Anderson,Sci-Fi Action,R,Jan,2017,2017-01-27,321391506.0
Baby Driver,226945087.0,107825862.0,34000000.0,112.0,114.23131782945737,114.0,Edgar Wright,Action / Crime,R,Jun,2017,2017-06-28,243722290.0
Hacksaw Ridge,179036915.64196044,68641418.07863937,40000000.0,131.0,114.23131782945737,126.0,Mel Gibson,Action Drama,R,Nov,2016,2016-11-04,207334152.64196044
Patriots Day,51626801.27696276,32565653.53643852,45000000.0,130.0,114.23131782945737,79.0,Peter Berg,Drama,R,Dec,2016,2016-12-21,60473803.27696276
John Wick: Chapter Two,171539887.0,92029184.0,30857482.18527316,122.0,114.23131782945737,77.0,Chad Stahelski,Action,R,Feb,2017,2017-02-10,201793213.0
La La Land,455595705.7412492,154320807.10712606,30000000.0,128.0,114.23131782945737,140.0,Damien Chazelle,Musical,PG-13,Dec,2016,2016-12-09,471828357.7412492
Wonder,300274326.0,132422809.0,30857482.18527316,113.0,114.23131782945737,126.0,Stephen Chbosky,Drama,PG,Nov,2017,2017-11-17,318804206.0
The Foreigner,145374099.0,34393507.0,35000000.0,114.0,114.23131782945737,70.0,Martin Campbell,Action Thriller,R,Oct,2017,2017-10-13,150685060.0
Valerian and the City of a Thousand Planets,225874228.0,41189488.0,30857482.18527316,137.0,114.23131782945737,76.31803628601921,Luc Besson,Sci-Fi,PG-13,Jul,2017,2017-07-21,236640479.0
A Bad Moms Christmas,130560428.0,72110659.0,28000000.0,104.0,114.23131782945737,72.0,"Jon Lucas,Scott Moore",Comedy,R,Nov,2017,2017-11-01,139289421.0
Nocturnal Animals,30957607.01912861,10890524.309040986,30857482.18527316,115.0,114.23131782945737,70.0,Tom Ford,Drama / Thriller,R,Nov,2016,2016-11-18,33272019.01912861
A Monster Calls,48317169.093234785,3820515.7922893916,30857482.18527316,108.0,114.23131782945737,35.0,J.A. Bayona,Fantasy Drama,PG-13,Dec,2016,2016-12-23,51464920.093234785
Atomic Blonde,95787870.0,51687870.0,30000000.0,115.0,114.23131782945737,70.0,David Leitch,Thriller,R,Jul,2017,2017-07-28,106871907.0
The Founder,24121245.0,12786053.0,30857482.18527316,115.0,114.23131782945737,99.0,John Lee Hancock,Drama,PG-13,Jan,2017,2017-01-19,26460324.0
The Nut Job 2: Nutty by Nature,65146020.0,28370522.0,40000000.0,91.0,114.23131782945737,49.0,Cal Brunker,Animation,PG,Aug,2017,2017-08-11,68711023.0
Jackie,14257799.886169987,14257799.886169987,30857482.18527316,95.0,508.0,140.0,Pablo Larrain,Drama,R,Dec,2016,2016-12-02,15559706.886169987
Logan Lucky,47570583.0,27780977.0,29000000.0,119.0,114.23131782945737,84.0,Steven Soderbergh,Action Comedy,PG-13,Aug,2017,2017-08-18,51367422.0
Manchester by the Sea,79192001.50262284,48711451.49733133,9000000.0,135.0,114.23131782945737,161.0,Kenneth Lonergan,Drama,R,Nov,2016,2016-11-18,82987737.50262284
Wish Upon,14301505.0,14301505.0,12000000.0,90.0,114.23131782945737,91.0,John R. Leonetti,Horror,PG-13,Jul,2017,2017-07-14,14862974.0
Dheepan,267396.6729303729,267396.6729303729,30857482.18527316,115.0,26.0,76.31803628601921,Jacques Audiard,Crime Drama,R,May,2016,2016-05-06,327644.6729303729
Pride and Prejudice and Zombies,16754659.303770307,11171155.03331153,28000000.0,108.0,114.23131782945737,28.0,Burr Steers,Comedy,PG-13,Feb,2016,2016-02-05,22577991.303770307
Money Monster,95269854.18125305,41885777.59815339,27000000.0,95.0,114.23131782945737,84.0,Jodie Foster,Drama / Thriller,R,May,2016,2016-05-13,98554640.18125305
The Homesman,2516047.004595837,2516047.004595837,30857482.18527316,122.0,222.0,105.0,Tommy Lee Jones,Western,R,Nov,2014,2014-11-14,5434675.004595837
The Green Inferno,7438176.881489513,7438176.881489513,5000000.0,100.0,114.23131782945737,42.0,Eli Roth,Horror,R,Sep,2015,2015-09-25,8744837.881489513
Before We Go,38421.09688334592,38421.09688334592,30857482.18527316,96.0,21.0,28.0,Chris Evans,Comedy / Drama,PG-13,Sep,2015,2015-09-04,314241.0968833459
The Best of Me,37198539.00783996,27714137.818329282,26000000.0,117.0,114.23131782945737,91.0,Michael Hoffman,Romance,PG-13,Oct,2014,2014-10-17,51196066.00783996
The Lazarus Effect,39670175.00618099,26683118.260040417,30857482.18527316,83.0,114.23131782945737,76.31803628601921,David Gelb,Horror,PG-13,Feb,2015,2015-02-27,42688934.00618099
Nightcrawler,40067678.05082455,33527997.055961072,30857482.18527316,117.0,114.23131782945737,76.31803628601921,Dan Gilroy,Crime Drama,R,Oct,2014,2014-10-31,45591318.05082455
Little Boy,6707699.280304788,6707699.280304788,30857482.18527316,106.0,114.23131782945737,56.0,Alejandro Monteverde,Drama,PG-13,Apr,2015,2015-04-24,9248817.280304788
The Gunman,25003690.96495188,11029349.265580105,40000000.0,115.0,114.23131782945737,42.0,Pierre Morel,Thriller,R,Mar,2015,2015-03-20,27539825.96495188
Mr. Turner,22965281.57610165,4098690.186536902,30857482.18527316,150.0,120.0,101.0,Mike Leigh,Drama,R,Dec,2014,2014-12-19,23598285.57610165
Whiplash,50716738.8564477,13555652.87915653,30857482.18527316,106.0,567.0,171.0,Damien Chazelle,Drama,R,Oct,2014,2014-10-10,54878380.8564477
Still Alice,45384955.08018412,19395534.579882454,5000000.0,101.0,114.23131782945737,76.31803628601921,"Richard Glatzer,Wash Westmoreland",Drama,PG-13,Jan,2015,2015-01-16,48874585.08018412
A Most Violent Year,12432300.108137336,5952739.448499595,20000000.0,125.0,818.0,117.0,J.C. Chandor,Drama / Thriller,R,Dec,2014,2014-12-31,13710081.108137336
Ex Machina,38129884.184172444,26312787.120586287,15000000.0,110.0,114.23131782945737,147.0,Alex Garland,Sci-Fi Thriller,R,Apr,2015,2015-04-10,47782507.184172444
The Transporter Refueled,75112691.11667095,16577683.079272794,30857482.18527316,96.0,114.23131782945737,77.0,Camille Delamarre,Action,PG-13,Sep,2015,2015-09-04,78940689.11667095
Boyhood,46071080.35414977,26250131.449040283,4000000.0,166.0,775.0,255.0,Richard Linklater,Drama,R,Jul,2014,2014-07-11,51794140.35414977
The Grand Budapest Hotel,180991908.8726683,61401479.026764,25000000.0,100.0,114.23131782945737,357.0,Wes Anderson,Comedy,R,Mar,2014,2014-03-07,191048209.8726683
Shanghai,9561984.169574333,48012.15102714151,30857482.18527316,104.0,103.0,14.0,Mikael Hafstrom,Period Drama,R,Oct,2015,2015-10-02,9579781.169574333
The Walk,63273594.81826198,10484077.05033816,35000000.0,123.0,114.23131782945737,40.0,Robert Zemeckis,Adventure,PG,Sep,2015,2015-09-30,65894228.81826198
The Wedding Ringer,82528032.10571393,66663939.38122582,23000000.0,101.0,114.23131782945737,80.0,Jeremy Garelick,Comedy,R,Jan,2015,2015-01-16,89089275.10571393
War Room,70107686.28005585,70107686.28005585,3000000.0,120.0,114.23131782945737,108.0,Alex Kendrick,Drama,PG,Aug,2015,2015-08-28,114587095.28005585
John Wick,91905153.1846445,44562018.937550694,20000000.0,96.0,114.23131782945737,91.0,"David Leitch,Chad Stahelski",Action,R,Oct,2014,2014-10-24,125008867.1846445
Mortdecai,48891929.09538134,7959244.974326735,60000000.0,106.0,114.23131782945737,28.0,David Koepp,Action Comedy,R,Jan,2015,2015-01-23,51516989.09538134
American Ultra,28067354.336946294,14934685.036094457,28000000.0,96.0,114.23131782945737,49.0,Nima Nourizadeh,Action Comedy,R,Aug,2015,2015-08-21,28536663.336946294
The Hunger Games: Mockingjay - Part 1,782107651.5625845,349075544.6201677,125000000.0,123.0,114.23131782945737,119.0,Francis Lawrence,Action / Adventure,PG-13,Nov,2014,2014-11-21,859461399.5625845
The DUFF,45016765.7428792,35193752.66820523,30857482.18527316,101.0,114.23131782945737,84.0,Ari Sandel,Comedy,PG-13,Feb,2015,2015-02-20,52441442.7428792
The Divergent Series: Insurgent,307439440.0590675,134629558.76008892,110000000.0,119.0,114.23131782945737,112.0,Robert Schwentke,Action / Adventure,PG-13,Mar,2015,2015-03-20,342538928.0590675
St. Vincent,56779293.38199514,45700848.05623142,30857482.18527316,103.0,114.23131782945737,147.0,Theodore Melfi,Comedy,PG-13,Oct,2014,2014-10-10,64592984.38199514
Big Eyes,30289166.20167613,14994911.795079753,30857482.18527316,106.0,114.23131782945737,92.0,Tim Burton,Drama,PG-13,Dec,2014,2014-12-25,33482672.20167613
Southpaw,95115072.39666353,54214124.38500192,30000000.0,123.0,114.23131782945737,105.0,Antoine Fuqua,Drama,R,Jul,2015,2015-07-24,103869514.39666353
The Imitation Game,241827078.03190053,94352896.96945122,30857482.18527316,114.0,114.23131782945737,168.0,Morten Tyldum,Drama,PG-13,Nov,2014,2014-11-28,252474205.03190053
Paddington,277211671.3018897,78879369.24288131,55000000.0,95.0,114.23131782945737,76.31803628601921,Paul King,Family,PG,Jan,2015,2015-01-16,299180384.3018897
The Second Best Exotic Marigold Hotel,88917641.18995683,34209126.61083382,10000000.0,122.0,114.23131782945737,112.0,John Madden,Comedy / Drama,PG,Mar,2015,2015-03-06,93419692.18995683
The Boxtrolls,113155359.93241417,52637706.98837524,60000000.0,97.0,114.23131782945737,133.0,"Graham Annable,Anthony Stacchi",Animation,PG,Sep,2014,2014-09-26,132631102.93241417
Self/Less,31566736.382284813,12699501.967875721,26000000.0,117.0,114.23131782945737,49.0,Tarsem,Sci-Fi Thriller,PG-13,Jul,2015,2015-07-10,34722803.38228481
Insidious Chapter 3,116846516.797023,54003775.834476,10000000.0,97.0,114.23131782945737,70.0,Leigh Whannell,Horror,PG-13,Jun,2015,2015-06-05,121341256.797023
Lee Daniels' The Butler,185819375.80308813,122721614.402658,30000000.0,132.0,114.23131782945737,182.0,Lee Daniels,Drama,PG-13,Aug,2013,2013-08-16,218753921.80308813
Mandela: Long Walk to Freedom,28760971.489158943,8757644.523238193,30857482.18527316,139.0,114.23131782945737,119.0,Justin Chadwick,Drama,PG-13,Nov,2013,2013-11-29,32057370.489158943
Philomena,105357788.02371253,39678867.99915864,12000000.0,95.0,114.23131782945737,182.0,Stephen Frears,Drama,PG-13,Nov,2013,2013-11-22,113312718.02371253
August: Osage County,78062441.7271857,39709204.30465708,30857482.18527316,130.0,114.23131782945737,133.0,John Wells,Comedy / Drama,R,Dec,2013,2013-12-27,87680783.7271857
The Giver,69352567.3100838,46687248.55907002,25000000.0,91.0,114.23131782945737,119.0,Phillip Noyce,Fantasy Drama,PG-13,Aug,2014,2014-08-15,78895727.3100838
Don Jon,32040631.1496113,25755718.02727542,3000000.0,90.0,114.23131782945737,105.0,Joseph Gordon-Levitt,Comedy,R,Sep,2013,2013-09-27,39051483.1496113
Out of the Furnace,16478332.65435252,11922447.949106487,22000000.0,106.0,114.23131782945737,65.0,Scott Cooper,Thriller,R,Dec,2013,2013-12-04,21707425.65435252
Free Birds,116150530.3066231,58661287.952712305,55000000.0,90.0,114.23131782945737,140.0,Jimmy Hayward,Animation,PG,Nov,2013,2013-11-01,134349956.3066231
Brick Mansions,71336808.61584212,21119182.230332524,28000000.0,90.0,114.23131782945737,70.0,Camille Delamarre,Action,PG-13,Apr,2014,2014-04-25,77431853.61584212
